"date","iso_code","new_cases_per_million","new_cases_smoothed_per_million","cases_growth","deaths_growth","vaccine_growth","Policy_change","Restrict","Isolamento_14","Residential","Closure","stayhome_growth","stayhome_growth_7","stayhome_growth_14","total_deaths","Stay_at_home","Stay_at_home_federal","C1","C2","C6","C1_Flag","C2_Flag","C6_Flag","cases_growth_after14","Policy","cases_rolling_14","cum_negative_day","y.max","delta","Pico","nPico","Onda","Strigency_type"
2020-05-06,"ARG",3.26214285714226,3.06735714285805,3.77187002953947,3.39637205712089,NA,0,FALSE,"Queda",20,2.625,-4.76190476190477,-4.76190476190477,-13.0434782608696,218.5,TRUE,TRUE,3,3,2,1,0,1,7.5481600763412,"Sem mudanças",2.53813739438523,0,15.4979285714295,12.4305714285714,FALSE,0,"Início ao 1o pico","Medium"
2020-05-07,"ARG",3.05985714285655,3.08521428571519,-6.20100722575106,-3.32213512504675,NA,0,FALSE,"Queda",21,2.625,5,-4.54545454545454,-12.5,226.857142857143,TRUE,TRUE,3,3,2,1,0,1,11.9017778911538,"Sem mudanças",2.78833525498128,0,15.9347857142866,12.8495714285714,FALSE,0,"Início ao 1o pico","Medium"
2020-05-08,"ARG",3.16728571428512,3.11707142857234,3.51090153602012,0,NA,0,FALSE,"Queda",23,2.625,9.52380952380953,-30.3030303030303,-14.8148148148148,235.214285714286,TRUE,TRUE,3,3,2,1,0,1,10.4822883422214,"Sem mudanças",3.40131185901516,0,16.3745714285723,13.2575,FALSE,0,"Início ao 1o pico","Medium"
2020-05-09,"ARG",3.15464285714226,3.13357142857234,-0.399170087050726,-1.69884169884175,NA,0,FALSE,"Queda",21,2.625,-8.69565217391305,-12.5,-19.2307692307692,243.428571428571,TRUE,TRUE,3,3,2,1,0,1,10.6988427379572,"Sem mudanças",3.60016353367058,0,16.8312857142866,13.6977142857143,FALSE,0,"Início ao 1o pico","Medium"
2020-05-10,"ARG",3.38535714285655,3.17828571428662,7.31348352768166,-1.72820109976437,NA,0,FALSE,"Queda",21,2.625,0,-12.5,-16,251.5,TRUE,TRUE,3,3,2,1,0,1,8.33819572757684,"Sem mudanças",3.89018851409873,0,17.2984285714295,14.1201428571429,FALSE,0,"Início ao 1o pico","Medium"
2020-05-11,"ARG",3.59557142857083,3.25257142857234,6.20951577170696,3.51718625099928,NA,0.125,TRUE,"Queda",19,2.75,-9.52380952380952,-9.52380952380952,-20.8333333333333,259.857142857143,TRUE,TRUE,3,3,2,1,0,1,5.09780454052469,"Restrição",4.3155768763866,0,17.8414285714295,14.5888571428572,FALSE,0,"Início ao 1o pico","High"
2020-05-12,"ARG",3.84999999999941,3.35350000000091,7.07616512376452,-4.24710424710436,NA,-0.125,FALSE,"Queda",19,2.625,0,-9.52380952380952,-5,267.857142857143,TRUE,TRUE,3,2,2,1,0,1,4.96085409252698,"Flexibilização",4.78291791350699,0,18.5090714285723,15.1555714285714,FALSE,0,"Início ao 1o pico","Medium"
2020-05-13,"ARG",4.09971428571369,3.47314285714377,6.48608534322923,2.66129032258073,NA,0,FALSE,"Queda",19,2.625,0,-5,-9.52380952380952,276.071428571429,TRUE,TRUE,3,2,2,1,0,1,5.83644131009731,"Sem mudanças",5.05265291684997,0,19.279857142858,15.8067142857142,FALSE,0,"Início ao 1o pico","Medium"
2020-05-14,"ARG",4.27671428571369,3.64700000000091,4.31737403303427,17.3605655930877,NA,0,FALSE,"Queda",18,2.625,-5.26315789473685,-14.2857142857143,-18.1818181818182,285.714285714286,TRUE,TRUE,3,2,2,1,0,1,7.28678793159825,"Sem mudanças",6.09116741351625,0,20.1847857142866,16.5377857142857,FALSE,0,"Início ao 1o pico","Medium"
2020-05-15,"ARG",4.65757142857083,3.85985714285805,8.90536793934051,-2.97858099062925,NA,0,FALSE,"Queda",22,2.625,22.2222222222222,-4.34782608695652,-33.3333333333333,295.071428571429,TRUE,TRUE,3,2,2,1,0,1,4.91549716333259,"Sem mudanças",6.20451762812372,0,21.1732142857152,17.3133571428571,FALSE,0,"Início ao 1o pico","Medium"
